Rank,Release Group,Worldwide,Domestic,%,Foreign,%
180,Mascarade,"$6,179,660",-,-,"$6,179,660",100%
181,The Exorcism of God,"$6,102,053",-,-,"$6,102,053",100%
182,The Fabelmans,"$6,095,575","$6,016,751",98.7%,"$78,824",1.3%
183,Notre-Dame on Fire,"$6,059,202",-,-,"$6,059,202",100%
184,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
185,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
186,Last Seen Alive,"$5,950,199",-,-,"$5,950,199",100%
187,God's Crooked Lines,"$5,933,221",-,-,"$5,933,221",100%
188,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
189,Maigret,"$5,800,151",-,-,"$5,800,151",100%
190,Goliath,"$5,797,270",-,-,"$5,797,270",100%
191,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
192,Fireheart,"$5,785,250","$49,848",0.9%,"$5,735,402",99.1%
193,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
194,The One,"$5,764,969",-,-,"$5,764,969",100%
195,Jeepers Creepers: Reborn,"$5,746,448","$2,033,057",35.4%,"$3,713,391",64.6%
196,Irréductible,"$5,709,995",-,-,"$5,709,995",100%
197,Jaws 2022 Re-release,"$5,632,179","$5,100,765",90.6%,"$531,414",9.4%
198,The One 2022 Re-release,"$5,624,487",-,-,"$5,624,487",100%
199,Confession,"$5,561,723",-,-,"$5,561,723",100%
200,Strangeness,"$5,429,357",-,-,"$5,429,357",100%
