Value
281460
282444
319077
315191
328408
321044
328000
326317
313524
319726
324259
387155
293261
295062
339141
335632
345348
350945
351827
355701
333289
336134
343798
405608
318546
314051
361993
351667
373560
366615
362203
375795
346214
348796
356928
417991
328877
323162
374142
358535
391512
376639
372354
388016
353936
368681
377802
426077
342639
343893
372907
368920
397956
378507
383726
382862
350542
349847
335545
384236
310188
299412
328526
329854
347728
344405
348071
353392
324646
338610
339363
400281
